,Race,Sex,Age,Occupation,Year,Male,B
2162,B,M,20,Laborer,1920,1,1
2164,B,M,34,Driver,1920,1,1
2165,B,F,34,Laundress,1920,0,1
2166,B,F,28,Cook,1920,0,1
2167,B,M,24,Driver,1920,1,1
2168,B,F,21,Laborer,1920,0,1
2169,B,M,26,Laborer,1920,1,1
2170,B,F,28,Laborer,1920,0,1
2172,B,F,65,Midwife At Gen. Practice,1920,0,1
2173,W,M,50,Cook,1920,1,0
2174,B,F,28,Washwoman,1920,0,1
2176,B,M,55,Assistant,1920,1,1
2178,B,M,11,Bootblack At Shoe Shin. Parlor,1920,1,1
2179,B,M,50,Yardman At Private Family,1920,1,1
2180,B,M,46,Driver,1920,1,1
2181,B,F,43,Washwoman,1920,0,1
2182,B,F,38,Seamstress,1920,0,1
2183,B,F,20,Maid,1920,0,1
2184,B,M,13,Messenger At Drugstore,1920,1,1
2186,B,M,47,Presser,1920,1,1
2187,B,F,47,Cook,1920,0,1
2188,B,M,49,Porter,1920,1,1
2189,B,M,33,Laborer,1920,1,1
2190,B,F,26,Washwoman,1920,0,1
2191,B,F,49,Washwoman,1920,0,1
2192,B,M,26,Porter,1920,1,1
2193,B,M,18,Driver,1920,1,1
2194,B,M,15,Delivery Boy At Drugstore,1920,1,1
2195,B,F,23,Maid,1920,0,1
2196,B,F,20,Maid,1920,0,1
2197,B,M,38,Laborer,1920,1,1
2198,B,F,34,Cleaner,1920,0,1
2199,B,M,36,Cook,1920,1,1
2200,W,F,32,Dressmaker At Home,1920,0,0
2201,B,F,35,Maid,1920,0,1
2202,B,M,25,Laborer,1920,1,1
2203,B,F,26,Owner of Business,1920,0,1
2204,B,F,21,Assistant,1920,0,1
2205,B,M,17,Laborer,1920,1,1
2206,B,M,23,Laborer,1920,1,1
2207,B,M,17,Laborer,1920,1,1
2208,B,M,16,Renter At Farm,1920,1,1
2209,W,F,39,Owner of Business,1920,0,0
2211,B,M,52,Porter,1920,1,1
2212,B,M,38,Driver,1920,1,1
2213,B,F,36,Owner of Business,1920,0,1
2218,B,F,18,Maid,1920,0,1
2219,B,F,37,Cook,1920,0,1
2220,B,F,17,Waitress,1920,0,1
2221,B,F,24,Cleaner,1920,0,1
2222,B,F,20,Waitress,1920,0,1
2224,B,M,32,Driver,1920,1,1
2225,B,F,27,Cook,1920,0,1
2226,B,F,50,Seamstress,1920,0,1
2227,B,F,24,Nurse,1920,0,1
2228,B,F,21,Nurse,1920,0,1
2229,B,M,30,Res. Physician At Hospital ,1920,1,1
2230,B,M,48,Laborer,1920,1,1
2231,B,M,43,Sawyer At Box Factory,1920,1,1
2233,B,M,27,Porter,1920,1,1
2234,B,F,60,Washwoman,1920,0,1
2235,B,M,27,Porter,1920,1,1
2236,B,F,42,Washwoman,1920,0,1
2237,B,M,12,Messsenger At Diff. Families,1920,1,1
2238,B,F,15,Cleaner,1920,0,1
2239,B,M,20,Laborer,1920,1,1
2240,W,F,52,Owner of Business,1920,0,0
2241,W,M,28,Owner of Business,1920,1,0
2242,W,F,22,Manager,1920,0,0
2244,B,F,30,Washwoman,1920,0,1
2245,B,M,30,Laborer,1920,1,1
2246,B,M,25,Driver,1920,1,1
2247,B,F,23,Washwoman,1920,0,1
2248,B,M,51,Painter At Houses,1920,1,1
2249,B,F,40,Laundress,1920,0,1
2251,B,M,17,Laborer,1920,1,1
2253,B,M,36,Morter Maker At Concrete Works,1920,1,1
2254,B,F,38,Dressmaker At Home,1920,0,1
2255,B,M,23,Bell Boy At Hotel,1920,1,1
2256,B,F,21,Maid,1920,0,1
2257,B,F,30,Ironer At Laundry,1920,0,1
2258,B,M,39,Cook,1920,1,1
2259,B,M,43,Driver,1920,1,1
2260,B,M,37,Chauffeur,1920,1,1
2262,B,M,30,Freight Handler At Freight Depot,1920,1,1
2264,B,F,54,Washwoman,1920,0,1
2265,B,F,40,Seamster At Home,1920,0,1
2269,B,M,23,Barber,1920,1,1
2271,B,M,30,Laborer,1920,1,1
2272,B,F,24,Seamstress,1920,0,1
2274,B,F,24,Seamstress,1920,0,1
2275,B,M,35,Tailor At Shop,1920,1,1
2276,B,F,29,Manicurist At Homes,1920,0,1
2277,B,M,27,Porter,1920,1,1
2278,B,F,30,Manager,1920,0,1
2279,B,F,16,Maid,1920,0,1
2281,B,F,35,Seamstress,1920,0,1
2282,B,M,36,Blacksmith At Shop,1920,1,1
2284,B,M,23,Laborer,1920,1,1
2285,B,F,66,Washwoman,1920,0,1
2286,B,M,31,Chauffeur,1920,1,1
2287,B,M,78,Retired Mechanic At House,1920,1,1
2288,B,M,80,Painter At Houses,1920,1,1
2289,B,F,36,Maid,1920,0,1
2290,B,M,60,Musician At Violin In Band,1920,1,1
2293,W,M,33,Owner of Business,1920,1,0
2302,B,F,39,Washwoman,1920,0,1
2303,B,M,35,Laborer,1920,1,1
2304,B,M,29,Washer At Laundry,1920,1,1
2306,B,M,26,Teamster At City,1920,1,1
2307,B,F,25,Maid,1920,0,1
2308,B,F,28,Laundress,1920,0,1
2309,B,F,41,Cook,1920,0,1
2310,B,M,22,Packer At Drug Co.,1920,1,1
2311,B,M,21,Laborer,1920,1,1
2312,B,M,39,Porter,1920,1,1
2313,B,F,39,Washwoman,1920,0,1
2314,B,M,20,Laborer,1920,1,1
2318,B,M,20,Laborer,1920,1,1
2319,B,F,20,Washwoman,1920,0,1
2320,B,M,20,Laborer,1920,1,1
2321,B,F,43,Washwoman,1920,0,1
2322,B,F,29,Owner of Business,1920,0,1
2323,B,F,36,Seamstress,1920,0,1
2324,B,M,30,Bellboy At Hotel,1920,1,1
2325,B,M,26,Waitress,1920,1,1
2326,B,M,35,Driver,1920,1,1
2327,B,M,31,Teamster At Woodyard Yard,1920,1,1
2329,B,M,30,Driver,1920,1,1
2330,B,F,26,Washwoman,1920,0,1
2332,B,F,28,Cook,1920,0,1
2333,B,M,64,Cleaner,1920,1,1
2334,B,F,58,Washwoman,1920,0,1
2335,B,F,21,Seamstress,1920,0,1
2336,B,F,32,Cook,1920,0,1
2337,B,F,19,Cook,1920,0,1
2338,B,M,17,Yardman At Private Families,1920,1,1
2340,B,M,30,Laborer,1920,1,1
2341,B,F,23,Assistant,1920,0,1
2342,B,F,60,Nurse,1920,0,1
2343,B,M,37,Owner of Business,1920,1,1
2344,B,M,21,Laborer,1920,1,1
2345,B,F,24,Washwoman,1920,0,1
2346,B,F,48,Washwoman,1920,0,1
2347,B,M,26,Carpenter,1920,1,1
2348,B,M,28,Laborer,1920,1,1
2349,B,M,28,Laborer,1920,1,1
2350,B,F,24,Washwoman,1920,0,1
2352,B,M,40,Roofing At Houses,1920,1,1
2353,B,F,25,Laborer,1920,0,1
2354,B,F,18,Farmer Help At Farm,1920,0,1
2355,B,M,38,Driver,1920,1,1
2357,B,F,22,Maid,1920,0,1
2360,B,M,32,Farmer At Cotton And Com.,1920,1,1
2363,B,F,35,Washwoman,1920,0,1
2364,B,M,25,Porter,1920,1,1
2365,B,M,25,Porter,1920,1,1
2366,B,M,27,Mail Carrier At Us Post Office,1920,1,1
2367,B,F,52,Nurse,1920,0,1
2368,B,M,46,Porter,1920,1,1
2370,B,M,32,Porter,1920,1,1
2371,B,M,24,Laborer,1920,1,1
2375,B,M,27,Laborer,1920,1,1
2376,B,M,27,Laborer,1920,1,1
2377,B,M,32,Spring Man At Rr Shops,1920,1,1
2379,B,F,25,Seamstress,1920,0,1
2380,B,M,50,Laborer,1920,1,1
2381,B,F,40,Laundress,1920,0,1
2382,B,F,19,Maid,1920,0,1
2383,B,F,16,Maid,1920,0,1
2384,B,M,46,Foreman At Cotton Boats,1920,1,1
2385,B,F,33,Dressmaker At Home,1920,0,1
2386,B,M,34,Laborer,1920,1,1
2387,B,F,32,Maid,1920,0,1
2388,B,F,44,Washwoman,1920,0,1
2389,B,M,18,Dishwasher At Cafe,1920,1,1
2390,B,M,19,Dishwasher At Cafe,1920,1,1
2391,B,F,24,Cook,1920,0,1
2392,B,M,49,Laborer,1920,1,1
2393,B,M,22,Driver,1920,1,1
2394,B,M,40,Laborer,1920,1,1
2395,B,F,39,Washwoman,1920,0,1
2396,B,M,21,Laborer,1920,1,1
2397,B,F,16,Cleaner,1920,0,1
2399,B,F,28,Dressmaker At Home,1920,0,1
2400,B,M,27,Baker At Shop,1920,1,1
2405,B,M,46,Checker At Grocery Store,1920,1,1
2409,B,M,34,Mechanic At Rr Shops,1920,1,1
2410,B,M,60,Spring Man At Rr Shops,1920,1,1
2412,B,M,12,Assistant,1920,1,1
2415,B,F,48,Nurse,1920,0,1
2417,B,M,11,Assistant,1920,1,1
2418,B,M,15,Driver,1920,1,1
2421,B,F,28,Ironer At Laundry,1920,0,1
2422,B,F,28,Cook,1920,0,1
2424,B,M,37,Welder At Streetcar Co,1920,1,1
2425,B,F,33,Ironer At Laundry,1920,0,1
2426,B,M,21,Driver,1920,1,1
2428,B,F,52,Cook,1920,0,1
2429,B,M,16,Assistant,1920,1,1
2430,B,M,49,Laborer,1920,1,1
2431,B,F,38,Washwoman,1920,0,1
2433,B,M,24,Laborer,1920,1,1
2434,B,F,38,Laundress,1920,0,1
2435,B,F,19,Laundress,1920,0,1
