Latitude,Longitude,Street Address
-95.37940124,29.75892528,816 Lion Street
-95.37933851,29.75833814,909 Lion Street
-95.37933862,29.7584082,907 Lion Street
-95.3794005,29.75830305,910 Lion Street
-95.3793384,29.75826809,911 Lion Street
-95.37933829,29.75819804,913 Lion Street
-95.3794004,29.75824,912 Lion Street
-95.37533015,29.75779634,702 San Felipe Street
-95.37531997,29.75774228,703 San Felipe Street
-95.37539694,29.75774168,705 San Felipe Street
-95.375243,29.75774288,701 San Felipe Street
-95.37558991,29.75779432,708 San Felipe Street
-95.37558991,29.75779432,708 San Felipe Street
-95.37555088,29.75774048,709 San Felipe Street
-95.37555088,29.75774048,709 San Felipe Street
-95.3756765,29.75779364,710 San Felipe Street
-95.37562784,29.75773988,711 San Felipe Street
-95.37570481,29.75773928,713 San Felipe Street
-95.37584968,29.75779229,714 San Felipe Street
-95.37578178,29.75773868,715 San Felipe Street
-95.37629784,29.75901793,834 Crosby Street
-95.37623507,29.75916971,813 Crosby Street
-95.37578178,29.75773868,715 San Felipe Street
-95.37585875,29.75773809,717 San Felipe Street
-95.37585875,29.75773809,717 San Felipe Street
-95.37614366,29.75778816,718 San Felipe Street
-95.37641541,29.7577824,802 San Felipe Street
-95.37616645,29.75778757,720 San Felipe Street
-95.37593572,29.75773749,719 San Felipe Street
-95.37593572,29.75773749,719 San Felipe Street
-95.37616463,29.75773346,803 San Felipe Street
-95.37616463,29.75773346,803 San Felipe Street
-95.37645792,29.75778166,804 San Felipe Street
-95.37637166,29.75772901,805 San Felipe Street
-95.37637166,29.75772901,805 San Felipe Street
-95.37650042,29.75778092,806 San Felipe Street
-95.37654293,29.75778018,808 San Felipe Street
-95.37657206,29.75772552,811 San Felipe Street
-95.37657206,29.75772552,811 San Felipe Street
-95.37670565,29.7577232,815 San Felipe Street
-95.37671296,29.75777722,816 San Felipe Street
-95.37663885,29.75772436,813 San Felipe Street
-95.37677245,29.75772204,817 San Felipe Street
-95.37671296,29.75777722,816 San Felipe Street
-95.37677245,29.75772204,817 San Felipe Street
-95.37687251,29.75930056,813 Hardcastle Street
-95.37683925,29.75772088,819 San Felipe Street
-95.37684048,29.757775,822 San Felipe Street
-95.37679798,29.75777574,820 San Felipe Street
-95.37717405,29.75776852,900 San Felipe Street
-95.37717405,29.75776852,900 San Felipe Street
-95.37700588,29.75771779,901 San Felipe Street
-95.37721779,29.75776763,902 San Felipe Street
-95.37717261,29.7577144,903 San Felipe Street
-95.37700588,29.75771779,901 San Felipe Street
-95.37717261,29.7577144,903 San Felipe Street
-95.37726153,29.75776674,904 San Felipe Street
-95.37722884,29.75771326,905 San Felipe Street
-95.37726153,29.75776674,904 San Felipe Street
-95.37730526,29.75776585,906 San Felipe Street
-95.37739754,29.75770983,911 San Felipe Street
-95.37743647,29.75776319,912 San Felipe Street
-95.37743647,29.75776319,912 San Felipe Street
-95.37739274,29.75776408,910 San Felipe Street
-95.37745377,29.75770869,913 San Felipe Street
-95.37748021,29.7577623,914 San Felipe Street
-95.37751001,29.75770754,915 San Felipe Street
-95.37752395,29.75776141,916 San Felipe Street
-95.37752395,29.75776141,916 San Felipe Street
-95.37756768,29.75776052,918 San Felipe Street
-95.37756768,29.75776052,918 San Felipe Street
-95.37774275,29.75770281,919 San Felipe Street
-95.37593627,29.75779162,716 San Felipe Street
-95.37774419,29.75775693,922 San Felipe Street
-95.37774419,29.75775693,920 San Felipe Street
-95.37774419,29.75775693,926 San Felipe Street
-95.37774419,29.75775693,1000 San Felipe Street
-95.37774419,29.75775693,1000 San Felipe Street
-95.37792033,29.75770228,1001 San Felipe Street
-95.37774419,29.75775693,1002 San Felipe Street
-95.37798039,29.75770283,1003 San Felipe Street
-95.37792033,29.75770228,1001 San Felipe Street
-95.37804044,29.75770339,1005 San Felipe Street
-95.37774419,29.75775693,1004 San Felipe Street
-95.37593627,29.75779162,716 San Felipe Street
-95.3781005,29.75770395,1007 San Felipe Street
-95.3781005,29.75770395,1007 San Felipe Street
-95.37791967,29.75775641,1008 San Felipe Street
-95.37798974,29.75775706,1010 San Felipe Street
-95.37798974,29.75775706,1010 San Felipe Street
-95.37816056,29.7577045,1009 San Felipe Street
-95.37828067,29.75770561,1013 San Felipe Street
-95.37812987,29.75775835,1014 San Felipe Street
-95.3780598,29.75775771,1012 San Felipe Street
-95.37812987,29.75775835,1014 San Felipe Street
-95.37834073,29.75770617,1015 San Felipe Street
-95.37819994,29.757759,1016 San Felipe Street
-95.37819994,29.757759,1016 San Felipe Street
-95.37854769,29.75770859,1017 San Felipe Street
-95.37854769,29.75770859,1017 San Felipe Street
-95.37675547,29.75777648,818 San Felipe Street
-95.37539058,29.76008211,701 Shipman Street
-95.37827001,29.75775965,1018 San Felipe Street
-95.37562432,29.76013403,706 Shipman Street
-95.37570201,29.76013329,708 Shipman Street
-95.37857117,29.75770892,1019 San Felipe Street
-95.37577903,29.76007843,711 Shipman Street
-95.37834007,29.7577603,1020 San Felipe Street
-95.37570134,29.76007916,709 Shipman Street
-95.37608979,29.76007548,719 Shipman Street
-95.37717568,29.76010951,813 Shipman Street
-95.37697536,29.76016363,810 Shipman Street
-95.37733593,29.76016365,816 Shipman Street
-95.37841839,29.75929264,805 Valentine Street
-95.37841833,29.75922551,807 Valentine Street
-95.37852922,29.76145918,508 Valentine Street
-95.37841826,29.75915839,809 Valentine Street
-95.37841851,29.75942689,801 Valentine Street
-95.3784182,29.75909126,811 Valentine Street
-95.37841814,29.75902413,813 Valentine Street
-95.37841784,29.7586423,901 Valentine Street
-95.37841802,29.75888988,817 Valentine Street
-95.37847985,29.7585694,902 Valentine Street
-95.37841781,29.75856031,903 Valentine Street
-95.37847983,29.75849652,904 Valentine Street
-95.37841778,29.75847832,905 Valentine Street
-95.37841772,29.75831434,909 Valentine Street
-95.37841775,29.75839633,907 Valentine Street
-95.37847974,29.75827788,910 Valentine Street
-95.37847972,29.758205,912 Valentine Street
-95.37841765,29.75815035,913 Valentine Street
-95.37756624,29.7577064,917 San Felipe Street
-95.37847969,29.75813212,914 Valentine Street
-95.37841762,29.75806836,915 Valentine Street
-95.37841765,29.75815035,913 Valentine Street
-95.37847966,29.75805924,916 Valentine Street
-95.3784798,29.75842364,906 Valentine Street
-95.37774419,29.75775693,1006 San Felipe Street
-95.37847963,29.75798636,918 Valentine Street
-95.37857117,29.75770892,1019 San Felipe Street
